"",""
"ALL","ALL"
"ANY","ANY"
"Action","Action"
"Add Attribute","Add Attribute"
"Add Block","Add Block"
"Add Category Block","Add Category Block"
"Add Product Block","Add Product Block"
"Add Shopping Cart Block","Add Shopping Cart Block"
"Add to Cart","Add to Cart"
"Add to Compare","Add to Compare"
"Add to Wishlist","Add to Wishlist"
"All extensions updates","All extensions updates"
"All groups","All groups"
"All","All"
"Apply To","Apply To"
"Apply the rule only if the following conditions are met (leave blank for all products)","Apply the rule only if the following conditions are met (leave blank for all products)"
"Are you sure that you want to delete this block?","Are you sure that you want to delete this block?"
"Are you sure?","Are you sure?"
"Ascending","Ascending"
"Attribute Name","Attribute Name"
"Attribute","Attribute"
"Attributes","Attributes"
"Automatic Related Products 2","Automatic Related Products 2"
"Automatic Related Products","Automatic Related Products"
"Back","Back"
"Based on your selection, you may be interested in the following items:","Based on your selection, you may be interested in the following items:"
"Before content","Before content"
"Block Name","Block Name"
"Block Type","Block Type"
"Block has been succesfully saved","Block has been succesfully saved"
"Block was successfully deleted","Block was successfully deleted"
"Block","Block"
"By Attribute","By Attribute"
"Categories are not specified","Categories are not specified"
"Categories","Categories"
"Category Page Block","Category Page Block"
"Category","Category"
"Change status","Change status"
"Condition","Condition"
"Conditions (leave blank for all products)","Conditions (leave blank for all products)"
"Conditions","Conditions"
"Continue","Continue"
"Couldn't load block by given ID","Couldn't load block by given ID"
"Count of products should be an integer and greater than 0","Count of products should be an integer and greater than 0"
"Current Category Only","Current Category Only"
"Current category and its  subcategories","Current category and its  subcategories"
"Currently Viewed Category","Currently Viewed Category"
"Currently Viewed Product","Currently Viewed Product"
"Custom","Custom"
"Customer Groups","Customer Groups"
"Customer groups","Customer groups"
"Date Expire","Date Expire"
"Date From","Date From"
"Date Start","Date Start"
"Date To","Date To"
"Delete Item","Delete Item"
"Delete","Delete"
"Descending","Descending"
"Disabled","Disabled"
"Edit Category Block #%s - '%s'","Edit Category Block #%s - '%s'"
"Edit Category Block","Edit Category Block"
"Edit Product Block #%s - '%s'","Edit Product Block #%s - '%s'"
"Edit Product Block","Edit Product Block"
"Edit Shopping Cart Block","Edit Shopping Cart Block"
"Edit Shopping Cart Block #%s - %s","Edit Shopping Cart Block #%s - %s"
"Edit","Edit"
"Enabled","Enabled"
"FALSE","FALSE"
"General Options","General Options"
"General","General"
"I'd like to be informed by aheadWorks about:","I'd like to be informed by aheadWorks about:"
"ID","ID"
"In stock","In stock"
"Include","Include"
"Info","Info"
"Inside product page","Inside product page"
"Inside product","Inside product"
"Installed aheadWorks Extensions","Installed aheadWorks Extensions"
"Installed","Installed"
"Instead native related block","Instead native related block"
"Instead native","Instead native"
"Item does not exist","Item does not exist"
"Manage Blocks","Manage Blocks"
"My extensions updates","My extensions updates"
"Name couldn't be empty","Name couldn't be empty"
"Name","Name"
"New Releases","New Releases"
"No","No"
"None","None"
"Not registered","Not registered"
"Notifications","Notifications"
"Number of products","Number of products"
"Order Products","Order Products"
"Other information","Other information"
"Other","Other"
"Out of stock","Out of stock"
"Please select item(s)","Please select item(s)"
"Position","Position"
"Priority","Priority"
"Product Page Block","Product Page Block"
"Product block","Product block"
"Product","Product"
"Promotions/Discounts","Promotions/Discounts"
"Random","Random"
"Random Order","Random Order"
"Related Products","Related Products"
"Replace Cross-Sells","Replace Cross-Sells"
"Replace Cross-Sells Block","Replace Cross-Sells Block"
"Reset","Reset"
"Save And Continue Edit","Save And Continue Edit"
"Save As New","Save As New"
"Save Item","Save Item"
"Save","Save"
"Select Attribute","Select Attribute"
"Select Categories","Select Categories"
"Select Condition","Select Condition"
"Select block type","Select block type"
"Shopping Cart","Shopping Cart"
"Shopping Cart Block","Shopping Cart Block"
"Shopping Cart Conditions","Shopping Cart Conditions"
"Show ""Out of stock"" Products", "Show ""Out of stock"" Products"
"Sorry, but Extensions Store is not available now. Please try again in a few minutes.","Sorry, but Extensions Store is not available now. Please try again in a few minutes."
"Sort Direction","Sort Direction"
"Status","Status"
"Store View","Store View"
"Store","Store"
"TRUE","TRUE"
"This extension can't be run under Magento Enterprise platform. You need Enterprise version of the extension.","This extension can't be run under Magento Enterprise platform. You need Enterprise version of the extension."
"This extension can't be run under Magento Professional platform. You need Professional version of the extension.","This extension can't be run under Magento Professional platform. You need Professional version of the extension."
"Total of %d record(s) were successfully deleted","Total of %d record(s) were successfully deleted"
"Total of %d record(s) were successfully updated","Total of %d record(s) were successfully updated"
"Type","Type"
"Under native related block","Under native related block"
"Under native","Under native"
"Update available","Update available"
"Wrong Extension Platform","Wrong Extension Platform"
"Yes","Yes"
"aheadWorks Extensions Store","aheadWorks Extensions Store"
"aheadWorks Extensions","aheadWorks Extensions"
"aheadWorks Notifications Setup","aheadWorks Notifications Setup"
"as current product's one","as current product's one"
"as current product one","as current product one"
"contains","contains"
"doesn't contain","doesn't contain"
"greater or equal","greater or equal"
"greater","greater"
"is not same as","is not same as"
"less or equal","less or equal"
"less","less"
"same as","same as"
"similar to","similar to"
